potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
49,a,Salinity,1,4,75,0.8380584906,0.5333333333,1e-16,23.2085246490074
50,a,Salinity,1,11,40,0.6871630824,0.5151515152,1,23.3441637744234
51,b,Copper,1,4,75,1.10375,0.37142857139999996,1e-16,23.3306271118844
52,a,µPlastic,1,8,55,1.045517544,0.9032258065000001,1e-16,23.2796068523645
53,c,Surfactant,1,3,80,1.078195652,0.46666666669999995,3,23.4165789136325
54,a,Nitrogen,1,13,30,0.631242268,0.5483870968,5,23.430660396851
55,a,Salinity,1,6,65,1.602940959,0.7419354839000001,1,23.3628646249992
56,b,µPlastic,1,6,65,1.263314488,0.935483871,1,23.2767871695241
57,b,Surfactant,1,11,40,0.7709589041,0.53125,1,23.152697793452
58,b,All_in,5,14,25,0.5942397959,0.44117647060000004,5,23.500678673558
59,c,Copper,1,4,75,1.086963235,0.42424242419999997,1e-16,23.1674497155629
60,c,Nitrogen,1,1,90,1.140682156,0.59375,1e-16,23.5183163869614
61,b,Nitrogen,1,8,55,1.120431507,0.6129032258,1,23.3940443773557
62,b,Surfactant,1,13,30,0.6068806228,0.5666666667,2,23.4810562388686
63,a,All_in,5,7,60,1.014127306,0.4375,2,23.2366688827201
64,c,Ctrl,0,14,25,0.6632706767,0.45161290319999997,3,23.4563262296234
65,a,All_in,5,5,70,1.04745614,0.5483870968,1,23.4125470482835
66,b,All_in,5,9,50,0.7763653846,0.5,5,23.4663027702039
67,c,Ctrl,0,5,70,0.6302894737,0.2903225806,1e-16,23.2009260248944
68,a,Nitrogen,1,9,50,0.816056338,0.4838709677,2,23.1192087930714
69,a,Copper,1,6,65,1.334539007,0.53125,1,23.3324795634322
70,c,Salinity,1,1,90,0.991243295,0.46875,1e-16,23.2067842334479
71,a,Surfactant,1,9,50,0.7328706294,0.6176470588,1,23.4044784054919
72,b,µPlastic,1,9,50,0.9426388889,0.5483870968,4,23.4310371085664
73,a,Salinity,1,9,50,0.967164311,0.5483870968,1e-16,23.3587546758992
74,a,Surfactant,1,15,20,0.5552576271,0.5882352941,3,23.8053446645894
75,b,µPlastic,1,14,25,0.8557308869,0.4117647059,5,23.4396339793214
76,a,Salinity,1,5,70,1.24678169,0.6875,1e-16,23.1556356164594
77,b,Ctrl,0,2,85,0.5740517241,0.5333333333,1,23.2442883454494
78,a,µPlastic,1,6,65,0.9240214286,0.5454545455,3,23.3154335501746
79,a,Salinity,1,10,45,0.6012274306,0.4,2,23.3083870740366
80,c,Copper,1,5,70,0.964323741,0.5,1e-16,23.3198778141447
81,a,Copper,1,12,35,0.6148976109,0.4838709677,2,23.8964946148742
82,b,Surfactant,1,7,60,0.9543618182,0.6333333333,1e-16,23.5910732985609
83,c,Salinity,1,7,60,0.9615704225,0.5,1,23.4649942341352
84,a,Ctrl,0,15,20,0.6184532374,0.3548387097,5,23.4949508676088
85,a,Surfactant,1,13,30,0.6212716263,0.4375,6,24.0204678507482
86,a,Salinity,1,1,90,0.9004048583,0.34375,1e-16,23.0319425658862
87,c,Salinity,1,5,70,1.392480427,0.5806451613,1,23.6284952426184
88,b,Ctrl,0,14,25,0.5969923077,0.5,2,24.0064030435375
89,c,All_in,5,5,70,0.7117885305,0.5862068965999999,1e-16,23.5420404722747
90,b,Copper,1,7,60,0.9797003546,0.4375,1e-16,23.6974219866758
91,a,Surfactant,1,2,85,0.9923210332,0.7333333333000001,1e-16,23.5559391840022
92,a,Copper,1,1,90,1.08286194,0.4848484848,2,23.5311047518494
93,c,Surfactant,1,10,45,0.7134684015,0.6206896552,2,23.5016673266583
94,c,Salinity,1,3,80,1.142947471,0.5806451613,1e-16,23.2875200413313
95,c,All_in,5,3,80,1.000918728,0.4848484848,1e-16,23.3519759162878
96,b,All_in,5,3,80,1.042370787,0.4838709677,1e-16,23.4193740992313
97,a,All_in,5,3,80,0.8325264151,0.6,1,23.5760385267996
98,b,Surfactant,1,1,90,1.122051923,0.42424242419999997,1,23.4734682333809
99,c,All_in,5,11,40,0.640677193,0.5,2,23.9268411497096
100,a,Copper,1,7,60,1.052125874,0.53125,1e-16,23.5706668195685
101,b,All_in,5,11,40,0.7573139159,0.5714285713999999,3,23.5961787671353
102,a,Ctrl,0,5,70,0.5294634146,0.32258064519999996,1e-16,23.3845693128874
103,c,Surfactant,1,11,40,0.6525897887,0.3939393939,4,23.4637844618579
104,c,Nitrogen,1,15,20,0.5580347222,0.2941176471,5,23.8012183878156
105,a,Ctrl,0,6,65,0.5313811475,0.1875,1e-16,23.6058953968855
