potID,treatment,moistureL,whc,replicate,WSA
227,mp,5,70,c,67.85714286
228,ctrl,1,90,c,45.16129032
229,sdbs,14,25,a,56.25
230,ctrl,2,85,c,45.16129032
231,sdbs,10,45,a,55.17241379
232,nacl,10,45,c,48.38709677
233,mp,10,45,c,70.37037037
234,all,10,45,c,41.93548387
235,mp,4,75,a,33.33333333
236,mp,14,25,a,50
237,ctrl,12,35,c,41.93548387
238,mp,15,20,b,79.41176471
239,sdbs,7,60,c,62.5
240,sdbs,7,60,a,40
241,ctrl,8,55,a,45.16129032
242,cu,10,45,c,60
243,all,5,70,b,39.39393939
244,sdbs,4,75,c,51.72413793
245,all,1,90,c,37.5
246,nacl,4,75,c,51.61290323
247,all,12,35,b,56.25
248,mp,11,40,c,50
249,ctrl,13,30,b,36.36363636
250,sdbs,15,20,c,40
251,ctrl,11,40,a,50
252,mp,2,85,a,51.61290323
253,n,13,30,b,46.875
254,all,2,85,b,63.33333333
255,mp,10,45,b,53.33333333
257,sdbs,15,20,b,39.39393939
258,n,2,85,b,34.21052632
259,ctrl,10,45,c,45.45454545
260,all,2,85,c,45.16129032
261,cu,8,55,b,36.11111111
262,all,10,45,b,50
263,mp,13,30,c,61.29032258
264,n,7,60,b,43.75
265,n,4,75,c,51.51515152
266,cu,1,90,b,48.38709677
267,all,9,50,c,58.06451613
268,nacl,12,35,b,60.60606061
269,ctrl,3,80,c,50
270,mp,10,45,a,57.14285714
271,ctrl,10,45,b,43.75
272,ctrl,4,75,c,53.125
273,all,4,75,c,41.93548387
274,ctrl,8,55,b,43.75
275,cu,2,85,b,51.61290323
276,n,2,85,a,51.61290323
277,n,10,45,a,40.625
278,n,4,75,a,48.38709677
279,ctrl,9,50,c,45.16129032
280,all,15,20,c,54.83870968
281,nacl,14,25,c,45.16129032
282,cu,5,70,a,53.33333333
283,mp,12,35,a,37.5
284,sdbs,4,75,b,53.33333333
285,nacl,2,85,b,33.33333333
286,ctrl,1,90,b,23.33333333
287,n,12,35,a,55.17241379
288,cu,3,80,b,58.06451613
289,nacl,7,60,a,48.38709677
290,ctrl,14,25,a,51.72413793
291,nacl,9,50,b,51.61290323
292,ctrl,1,90,a,51.72413793
293,n,13,30,c,40.625
294,cu,15,20,c,43.75
295,mp,11,40,a,50
296,n,3,80,b,54.54545455
297,all,15,20,b,48.38709677
298,ctrl,2,85,a,37.5
299,nacl,5,70,b,53.125
300,ctrl,12,35,a,46.66666667
301,mp,1,90,a,41.66666667
302,n,7,60,c,50
303,sdbs,9,50,c,45.16129032
304,nacl,2,85,a,41.66666667
305,nacl,15,20,c,50
306,cu,9,50,a,62.5
307,cu,12,35,b,93.10344828
308,n,2,85,c,55.17241379
309,cu,3,80,c,61.29032258
310,sdbs,5,70,c,57.57575758
311,cu,15,20,a,40.625
312,mp,12,35,b,40
313,sdbs,13,30,c,48.57142857
314,ctrl,9,50,b,75
315,cu,1,90,c,56.66666667
256,mp,4,75,b,42.42424242
