"","potID","moistureL","whc","tr","cop_gS","log_cop_gS"
"291",9,15,20,"ctrl",15195299594.922,23.4442519797988
"292",74,15,20,"sdbs",21804176739.6601,23.8053673819521
"293",84,15,20,"ctrl",15985941129.5773,23.4949754935197
"294",104,15,20,"n",21714392590.1741,23.8012411306412
"295",108,15,20,"cu",14390480958.1071,23.3898327803662
"296",139,15,20,"nacl",24434114162.8347,23.9192461142115
"297",151,15,20,"mp",16122329613.8839,23.5034710805736
"298",158,15,20,"n",16387820310.5362,23.5198042318733
"299",171,15,20,"n",24087280394.574,23.9049497536583
"300",182,15,20,"mp",19771071904.6666,23.7074856914081
"301",189,15,20,"ctrl",20830314263.1327,23.7596751791498
"302",207,15,20,"all",20662643924.0238,23.7515932655393
"303",223,15,20,"nacl",16796844826.0663,23.5444568977453
"304",250,15,20,"sdbs",16724966785.8412,23.5401684570598
"305",257,15,20,"sdbs",20125619390.2414,23.7252594369323
"306",280,15,20,"all",21707114419.0968,23.8009058971752
"307",294,15,20,"cu",20723525991.9284,23.7545354132155
"308",305,15,20,"nacl",17765844686.1403,23.6005436130594
"309",311,15,20,"cu",17581031983.3428,23.5900864296047
