potID,treatment,moistureL,whc,replicate,med,wdpt
244,sdbs,4,75,c,0,4
245,all,1,90,c,0,2
246,nacl,4,75,c,0,1
247,all,12,35,b,4,4
248,mp,11,40,c,4,5
249,ctrl,13,30,b,4,5
250,sdbs,15,20,c,8,4
251,ctrl,11,40,a,0,4
252,mp,2,85,a,0,2
253,n,13,30,b,8,5
254,all,2,85,b,0,2
255,mp,10,45,b,0,3
256,cu,1,90,c,0,0
257,mp,4,75,b,0,0
258,sdbs,15,20,b,8,5
259,n,2,85,b,4,4
260,ctrl,10,45,c,0,2
261,all,2,85,c,0,0
262,cu,8,55,b,0,0
263,all,10,45,b,0,2
264,mp,13,30,c,4,5
265,n,7,60,b,0,0
266,n,4,75,c,0,0
267,cu,1,90,b,0,0
268,all,9,50,c,0,2
269,nacl,12,35,b,0,3
270,ctrl,3,80,c,0,1
271,mp,10,45,a,0,1
272,ctrl,10,45,b,0,3
273,ctrl,4,75,c,0,0
274,all,4,75,c,0,1
275,ctrl,8,55,b,0,2
276,cu,2,85,b,0,0
277,n,2,85,a,0,1
278,n,10,45,a,0,3
279,n,4,75,a,0,2
280,ctrl,9,50,c,0,0
281,all,15,20,c,4,5
282,nacl,14,25,c,0,3
283,cu,5,70,a,0,0
284,mp,12,35,a,4,4
285,sdbs,4,75,b,0,0
286,nacl,2,85,b,0,0
287,ctrl,1,90,b,0,0
288,n,12,35,a,0,4
289,cu,3,80,b,0,0
290,nacl,7,60,a,0,1
291,ctrl,14,25,a,4,5
292,nacl,9,50,b,0,4
293,ctrl,1,90,a,0,1
294,n,13,30,c,4,4
295,cu,15,20,c,8,5
296,mp,11,40,a,4,5
297,n,3,80,b,0,0
298,all,15,20,b,8,5
299,ctrl,2,85,a,0,0
300,nacl,5,70,b,0,0
301,ctrl,12,35,a,0,2
302,mp,1,90,a,0,2
303,n,7,60,c,0,2
304,sdbs,9,50,c,0,2
305,nacl,2,85,a,0,0
306,nacl,15,20,c,8,4
307,cu,9,50,a,0,1
308,cu,12,35,b,4,5
309,n,2,85,c,0,0
310,cu,3,80,c,0,0
311,sdbs,5,70,c,0,0
312,cu,15,20,a,0,4
313,mp,12,35,b,4,5
314,sdbs,13,30,c,8,5
315,ctrl,9,50,b,0,0
